episode,episode_reward
1,-0.6600005722045901
2,-1.076018826885865
3,0.5079995186829849
4,1.8261534164020443
5,-1.065915720462567
6,0.15999866485595682
7,-1.3100000000000003
8,-0.3029786440530879
9,0.934862851235136
10,-0.7714598540811359
11,1.1365080064423114
12,1.6947158753641043
13,0.11806711102450951
14,-1.3200005722045907
15,1.5987810066496868
16,1.2379737067751302
17,1.5503339917130519
18,-0.9413880678827864
19,-0.8631575030767815
20,0.8739370637970278
21,-0.6800005722045901
22,0.06387167893445311
23,0.34914207180167733
24,0.5962971077437882
25,1.054152936890208
26,0.30507407342462445
27,0.4182852772979322
28,2.1934138585958998
29,0.9362908335975635
30,1.0101326106538187
31,0.2040408075077791
32,1.841652807393918
33,0.7475970029332384
34,1.1170044569020265
35,-0.6925573963489666
36,1.0024931046009227
37,1.596401273135778
38,1.3733312135800362
39,-0.07000133514404337
40,1.4254442202348205
41,1.6852489544791458
42,0.3966519432710247
43,-2.419999046325684
44,-0.02277595855662315
45,1.9839741258535706
46,1.4552698664512604
47,-0.1762240647203952
48,0.8903373718424559
49,1.427604522957606
50,-2.239999523162841
51,1.2899976158142084
52,-0.49000047683715864
53,2.057145542019403
54,-1.3699999999999994
55,1.9088714469066819
56,0.9920992823216634
57,0.11999866485595678
58,0.10222022837277778
59,1.2820644194429294
60,0.23999828338622997
61,0.6832383112546192
62,-0.17981526577074367
63,0.13813197453840975
64,-0.4000013351440437
65,2.009997043609619
66,0.2885657757218505
67,0.36999809265136663
68,0.12411290199646574
69,0.4481744366936682
70,-0.08000114440917992
71,1.173120895800052
72,-3.230001335144046
73,0.024342601001067485
74,0.10641091554366566
75,-0.5506289739843477
76,2.3637910188635325
77,0.4539039233878903
78,1.5675399874705171
79,0.10999914169311499
80,-0.08131657764266165
81,1.6086823236122294
82,-3.7100004768371613
83,-0.8262345791144381
84,-0.7300005722045901
85,-2.250002384185794
86,-0.060001907348633754
87,1.825403857726803
88,1.1322306327708946
89,13.21999913573265
90,0.7499973297119131
91,1.239999046325683
92,-0.6300011444091804
93,2.0035369882282463
94,0.8847369500001954
95,0.9605971020355613
96,15.38999816417694
97,-5.7300017166137724
98,-6.189997425079347
99,-1.1300020980834982
100,1.848063941959922
101,1.6199967575073235
102,-3.850002479553226
103,1.5614071314976548
104,-2.2700030517578154
105,1.5958990474064603
106,1.4738718737507708
107,0.7899977111816401
108,-0.21009639493450982
109,1.5432769642128181
110,1.3599965190887435
111,0.7899979019165035
112,0.843395467165404
