distance,l1_rate,l2_rate,p_up,p_down,p_left,p_right
8.0,0.083984375,0.236328125,0.42590985,0.33755976,0.15831952,0.07821087
7.73448275862069,0.0859375,0.23828125,0.42657906,0.32045868,0.18245819,0.0705041
7.468965517241379,0.080078125,0.2265625,0.2813424,0.4831907,0.18134345,0.05412343
7.203448275862069,0.078125,0.234375,0.22566637,0.5561743,0.18376684,0.034392383
6.937931034482759,0.080078125,0.248046875,0.22229517,0.5234219,0.2236372,0.03064579
6.672413793103448,0.080078125,0.259765625,0.16521236,0.5803198,0.23588623,0.01858159
6.406896551724138,0.080078125,0.28515625,0.105051816,0.63454,0.2506397,0.009768499
6.141379310344828,0.080078125,0.28515625,0.09308065,0.5999428,0.2986979,0.008278649
5.875862068965517,0.08203125,0.28515625,0.068189465,0.6813022,0.2427587,0.007749704
5.610344827586207,0.0859375,0.291015625,0.068892516,0.685867,0.23764919,0.007591338
5.344827586206897,0.087890625,0.294921875,0.045822877,0.75788885,0.188813,0.007475384
5.0793103448275865,0.087890625,0.287109375,0.03388193,0.813862,0.14469254,0.0075635
4.813793103448276,0.08984375,0.294921875,0.023627503,0.8515966,0.11982659,0.0049493616
4.548275862068966,0.091796875,0.291015625,0.02318278,0.85211885,0.11854927,0.006149056
4.2827586206896555,0.09375,0.294921875,0.02025269,0.8579163,0.116339,0.005492015
4.017241379310345,0.095703125,0.298828125,0.016092956,0.8651685,0.11431326,0.004425252
3.751724137931035,0.0859375,0.294921875,0.014022714,0.8601472,0.12219235,0.003637767
3.4862068965517246,0.0859375,0.294921875,0.012360712,0.89537287,0.08873369,0.0035326988
3.2206896551724142,0.083984375,0.302734375,0.009902095,0.896814,0.09025293,0.0030309905
2.955172413793104,0.08203125,0.283203125,0.013429681,0.89010143,0.091770686,0.004698182
2.6896551724137936,0.078125,0.28515625,0.01124645,0.8995397,0.084741056,0.004472765
2.4241379310344833,0.080078125,0.27734375,0.014623489,0.8815355,0.09818588,0.005655086
2.158620689655173,0.07421875,0.259765625,0.013216359,0.9010308,0.07892395,0.0068290047
1.8931034482758626,0.080078125,0.2578125,0.013444531,0.92000455,0.057978656,0.008572228
1.6275862068965523,0.080078125,0.259765625,0.013166921,0.93265605,0.04722778,0.006949112
1.362068965517242,0.078125,0.255859375,0.013129985,0.9367671,0.041658606,0.008444297
1.0965517241379317,0.087890625,0.25390625,0.015182257,0.9397477,0.034909416,0.010160601
0.8310344827586214,0.0859375,0.25,0.016618501,0.93405336,0.035850942,0.0134771
0.565517241379311,0.08203125,0.23828125,0.020259257,0.92941314,0.030862516,0.019465089
0.3000000000000007,0.0859375,0.2421875,0.014911287,0.93015444,0.026750356,0.028183935
