type,a,b,c,d
wall,1.0,9.0,8.0,0.9
start,5.0,1.0,0,0
end,5.0,8.7,0,0
ray,5.0,8.7,5.0,9.0
ray,5.0,8.7,5.300000192955907,9.000000002221043
ray,5.0,8.7,10.0,8.699999809265137
ray,5.0,8.7,9.999999998722341,3.6999998105427956
ray,5.0,8.7,5.000000000000001,0.0
ray,5.0,8.7,1.2776588675933453e-09,3.699999810542794
ray,5.0,8.7,0.0,8.699999809265135
ray,5.0,8.7,4.699999807044093,9.000000002221043
