seed,net,reached,start_x,start_y,goal_x,goal_y,step,x,y
0,MLP,1,5.0,5.0,0.40973523,0.16527635,0,5.0,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,1,4.8,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,2,4.6,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,3,4.3999999999999995,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,4,4.199999999999999,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,5,3.999999999999999,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,6,3.799999999999999,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,7,3.5999999999999988,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,8,3.3999999999999986,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,9,3.1999999999999984,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,10,2.9999999999999982,5.0
0,MLP,1,5.0,5.0,0.40973523,0.16527635,11,2.9999999999999982,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,12,2.799999999999998,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,13,2.599999999999998,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,14,2.3999999999999977,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,15,2.1999999999999975,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,16,1.9999999999999976,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,17,1.7999999999999976,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,18,1.5999999999999976,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,19,1.3999999999999977,4.8
0,MLP,1,5.0,5.0,0.40973523,0.16527635,20,1.3999999999999977,4.6
0,MLP,1,5.0,5.0,0.40973523,0.16527635,21,1.3999999999999977,4.3999999999999995
0,MLP,1,5.0,5.0,0.40973523,0.16527635,22,1.3999999999999977,4.199999999999999
0,MLP,1,5.0,5.0,0.40973523,0.16527635,23,1.3999999999999977,3.999999999999999
0,MLP,1,5.0,5.0,0.40973523,0.16527635,24,1.3999999999999977,3.799999999999999
0,MLP,1,5.0,5.0,0.40973523,0.16527635,25,1.3999999999999977,3.5999999999999988
0,MLP,1,5.0,5.0,0.40973523,0.16527635,26,1.1999999999999977,3.5999999999999988
0,MLP,1,5.0,5.0,0.40973523,0.16527635,27,0.9999999999999978,3.5999999999999988
0,MLP,1,5.0,5.0,0.40973523,0.16527635,28,0.9999999999999978,3.3999999999999986
0,MLP,1,5.0,5.0,0.40973523,0.16527635,29,0.9999999999999978,3.1999999999999984
0,MLP,1,5.0,5.0,0.40973523,0.16527635,30,0.9999999999999978,2.9999999999999982
0,MLP,1,5.0,5.0,0.40973523,0.16527635,31,0.9999999999999978,2.799999999999998
0,MLP,1,5.0,5.0,0.40973523,0.16527635,32,0.9999999999999978,2.599999999999998
0,MLP,1,5.0,5.0,0.40973523,0.16527635,33,0.9999999999999978,2.3999999999999977
0,MLP,1,5.0,5.0,0.40973523,0.16527635,34,0.9999999999999978,2.1999999999999975
0,MLP,1,5.0,5.0,0.40973523,0.16527635,35,0.9999999999999978,1.9999999999999976
0,MLP,1,5.0,5.0,0.40973523,0.16527635,36,0.9999999999999978,1.7999999999999976
0,MLP,1,5.0,5.0,0.40973523,0.16527635,37,0.9999999999999978,1.5999999999999976
0,MLP,1,5.0,5.0,0.40973523,0.16527635,38,0.9999999999999978,1.3999999999999977
0,MLP,1,5.0,5.0,0.40973523,0.16527635,39,0.9999999999999978,1.1999999999999977
0,MLP,1,5.0,5.0,0.40973523,0.16527635,40,0.9999999999999978,0.9999999999999978
0,MLP,1,5.0,5.0,0.40973523,0.16527635,41,0.9999999999999978,0.7999999999999978
0,MLP,1,5.0,5.0,0.40973523,0.16527635,42,0.9999999999999978,0.5999999999999979
